MemTotal:        2056348 kB
MemFree:          134004 kB
MemAvailable:     844232 kB
Buffers:           35336 kB
Cached:           802720 kB
SwapCached:         8936 kB
Active:           786672 kB
Inactive:         511240 kB
Active(anon):     245132 kB
Inactive(anon):   218184 kB
Active(file):     541540 kB
Inactive(file):   293056 kB
Unevictable:        2408 kB
Mlocked:            2408 kB
HighTotal:       1310720 kB
HighFree:          45712 kB
LowTotal:         745628 kB
LowFree:           88292 kB
SwapTotal:        262140 kB
SwapFree:          87616 kB
Dirty:                80 kB
Writeback:             0 kB
AnonPages:        460020 kB
Mapped:           434692 kB
Shmem:              1504 kB
Slab:              70948 kB
SReclaimable:      31052 kB
SUnreclaim:        39896 kB
KernelStack:       11504 kB
PageTables:        26480 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1290312 kB
Committed_AS:   27529176 kB
VmallocTotal:     245760 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
CmaTotal:         671744 kB
CmaFree:           50924 kB
VmapStack:          5764 kB
